D-09 phase statistics (ms). n = measured loads per scenario.
Fields: scenario|events|plans -> phase: min / mean / median / p95 / max

== first|100|3 ==
p4: 2.798 / 4.36 / 3.803 / 6.775 / 12.79
p5: 0.354 / 0.746 / 0.616 / 1.966 / 2.467
p6: 45.057 / 56.823 / 53.938 / 70.337 / 92.998
p7: 0.136 / 0.244 / 0.224 / 0.374 / 0.375
rr: 59.126 / 73.667 / 71.304 / 90.371 / 106.962
vl: 59.854 / 74.752 / 72.358 / 91.784 / 108.087
c2: 1.883 / 2.408 / 2.352 / 3.211 / 3.357
c3: 1.079 / 1.778 / 1.5 / 3.148 / 6.628
c4: 1.005 / 1.532 / 1.412 / 2.159 / 2.941
c5: 0 / 0.728 / 0.66 / 1.704 / 1.957
c6: 32.714 / 41.867 / 40.532 / 54.941 / 62.692
c7: 0 / 0.193 / 0.258 / 0.445 / 0.466
contig: 45.983 / 58.14 / 55.278 / 71.702 / 93.939
